"","Road_ID","UNIT_ID","Transect_ID","Point_ID","Year","Date","Species_Alpha_Code","Time_Interval","Sighting_angle","Exact_Distance","Distance_category","Flyover2","Sex","Detection_Type","Group.size","Notes","Identity"
"48","TELL",1,3,16,2019,"19-Jun-2019","SAVS",6,"-999","-999",1,"N","U","VA","1","","TELL-01-03-16-2019"
"49","TELL",1,3,16,2019,"19-Jun-2019","WISN",7,"-999","-999",NA,"Y","U","A","1","","TELL-01-03-16-2019"
"50","TELL",1,3,17,2019,"19-Jun-2019","CANG",5,"-999","-999",NA,"Y","U","A","1","","TELL-01-03-17-2019"
"51","TELL",1,3,17,2019,"19-Jun-2019","CORE",0,"-999","-999",NA,"Y","U","AV","1","","TELL-01-03-17-2019"
"52","TELL",1,3,17,2019,"19-Jun-2019","FOSP",0,"-999","-999",1,"N","U","A","1","","TELL-01-03-17-2019"
"53","TELL",1,3,17,2019,"19-Jun-2019","GCSP",0,"-999","-999",1,"N","U","A","1","","TELL-01-03-17-2019"
"54","TELL",1,3,17,2019,"19-Jun-2019","GCSP",3,"-999","-999",1,"N","U","A","1","","TELL-01-03-17-2019"
"55","TELL",1,3,17,2019,"19-Jun-2019","GCSP",7,"-999","-999",1,"N","U","AV","1","","TELL-01-03-17-2019"
"56","TELL",1,3,17,2019,"19-Jun-2019","LALO",0,"-999","-999",1,"N","U","A","1","","TELL-01-03-17-2019"
"57","TELL",1,3,17,2019,"19-Jun-2019","SAVS",0,"-999","-999",1,"N","U","A","1","","TELL-01-03-17-2019"
"58","TELL",1,3,17,2019,"19-Jun-2019","SAVS",4,"-999","-999",1,"N","U","A","1","","TELL-01-03-17-2019"
"59","TELL",1,3,17,2019,"19-Jun-2019","WISN",4,"-999","-999",NA,"Y","U","A","1","","TELL-01-03-17-2019"
"60","KOUG",4,19,19,2019,"10-May-2019","CORE",3,"-999","-999",NA,"Y","U","A","1","","KOUG-04-19-19-2019"
"61","KOUG",4,19,19,2019,"10-May-2019","DUCK",6,"315","-999",201,"N","U","A","1","","KOUG-04-19-19-2019"
"62","KOUG",4,19,19,2019,"10-May-2019","SONG",9,"-999","-999",101,"N","U","A","1","","KOUG-04-19-19-2019"
"63","TELL",1,3,20,2019,"19-Jun-2019","ATSP",0,"-999","-999",1,"N","U","A","2","DIFFERENT CALL","TELL-01-03-20-2019"
"64","TELL",1,3,20,2019,"19-Jun-2019","ATSP",2,"-999","-999",101,"N","U","A","1","","TELL-01-03-20-2019"
"65","TELL",1,3,20,2019,"19-Jun-2019","CORE",0,"-999","-999",NA,"Y","U","A","1","","TELL-01-03-20-2019"
"66","TELL",1,3,20,2019,"19-Jun-2019","CORE",9,"-999","-999",NA,"Y","U","A","1","","TELL-01-03-20-2019"
"67","TELL",1,3,20,2019,"19-Jun-2019","FOSP",3,"-999","-999",1,"N","U","A","1","","TELL-01-03-20-2019"
