"","lat_dec","long_dec","id"
"1",64.7391666666667,-165.457777777778,"KOUG_4_19_16"
"2",64.8233333333333,-165.521944444444,"KOUG_4_19_19"
"3",64.9075,-165.324444444444,"KOUG_4_19_21"
"4",64.8191666666667,-165.433055555556,"KOUG_4_19_1"
"5",64.7372222222222,-165.413055555556,"KOUG_4_19_6"
"6",64.6547222222222,-165.393333333333,"KOUG_4_19_12"
"7",64.8213888888889,-165.470833333333,"KOUG_4_19_8"
"8",64.9005555555556,-165.514166666667,"KOUG_4_19_11"
"9",64.8122222222222,-165.366666666667,"KOUG_4_19_7"
"10",64.8955555555556,-165.430833333333,"KOUG_4_19_10"
"11",64.7288888888889,-165.345833333333,"KOUG_4_19_15"
"12",64.7058333333333,-165.825555555556,"TELL_5_16_24"
"13",64.8008333333333,-165.746666666667,"TELL_5_16_26"
"14",64.7147222222222,-165.936944444444,"TELL_5_16_25"
"15",64.6302777777778,-165.871666666667,"TELL_5_16_23"
"16",64.7977777777778,-165.948611111111,"TELL_5_16_20"
"17",64.6216666666667,-165.758611111111,"TELL_5_16_22"
"18",65.0602777777778,-165.341944444444,"KOUG_4_6_13"
"19",64.8933333333333,-165.258055555556,"KOUG_4_6_18"
"20",65.0719444444444,-165.500555555556,"KOUG_4_6_29"
"21",64.9891666666667,-165.408055555556,"KOUG_4_6_24"
"22",64.895,-165.301666666667,"KOUG_4_6_32"
"23",64.9797222222222,-165.363888888889,"KOUG_4_6_34"
"24",64.8869444444444,-165.447777777778,"KOUG_4_6_31"
"25",65.0630555555556,-165.384722222222,"KOUG_4_6_28"
"26",64.9783333333333,-165.311944444444,"KOUG_4_6_23"
"27",64.9561111111111,-166.041111111111,"TELL_4_4_12"
"28",64.8713888888889,-165.976388888889,"TELL_4_4_8"
"29",64.7858333333333,-165.908055555556,"TELL_4_4_4"
"30",64.8797222222222,-165.828055555556,"TELL_4_4_9"
"31",64.7130555555556,-166.005277777778,"TELL_4_4_14"
"32",64.8069444444445,-165.921944444444,"TELL_4_4_18"
"33",64.8994444444444,-166.099166666667,"TELL_4_4_21"
"34",64.7244444444444,-165.903611111111,"TELL_4_4_24"
"35",64.8088888888889,-165.967777777778,"TELL_4_4_26"
"36",64.9769444444444,-166.050833333333,"TELL_4_4_23"
"37",64.8344444444444,-164.539722222222,"COUN_3_12_1"
"38",64.6605555555556,-164.442777777778,"COUN _3_12_4"
"39",64.7563888888889,-164.617222222222,"COUN_3_12_7"
"40",64.8508333333333,-164.531388888889,"COUN_3_12_9"
"41",64.6730555555556,-164.593611111111,"COUN_3_12_11"
"42",64.7569444444445,-164.394722222222,"COUN_3_12_13"
"43",64.6622222222222,-164.480833333333,"COUN_3_12_10"
"44",64.8394444444445,-164.419166666667,"COUN_3_12_8"
"45",64.7447222222222,-164.504722222222,"COUN_3_12_6"
"46",65.0022222222222,-165.373055555556,"KOUG_4_21_5"
"47",65.0975,-165.289444444444,"KOUG_4_21_8"
"48",64.9297222222222,-165.466666666667,"KOUG_4_21_12"
"49",65.0147222222222,-165.526388888889,"KOUG_4_21_15"
"50",65.1094444444444,-165.448611111111,"KOUG_4_21_18"
"51",64.9316666666667,-165.509722222222,"KOUG_4_21_22"
"52",65.1002777777778,-165.329166666667,"KOUG_4_21_17"
"53",64.9227777777778,-165.396111111111,"KOUG_4_21_21"
"54",65.0080555555556,-165.460277777778,"KOUG_4_21_26"
"55",64.9136111111111,-165.283055555556,"KOUG_4_21_20"
"56",65.0886111111111,-165.479444444444,"KOUG_4_21_16"
"57",65.0047222222222,-165.416111111111,"KOUG_4_21_14"
"58",64.6030555555556,-165.546111111111,"COUN_5_12_1"
"59",64.6888888888889,-165.351111111111,"COUN_5_12_2"
"60",64.51,-165.413611111111,"COUN_5_12_5"
"61",64.6041666666667,-165.590833333333,"COUN_5_12_9"
"62",64.6980555555556,-165.504166666667,"COUN_5_12_14"
"63",64.6141666666667,-165.440277777778,"COUN_5_12_10"
"64",64.53,-165.375,"COUN_5_12_7"
"65",64.6847222222222,-164.666666666667,"COUN_4_10_10"
"66",64.7786111111111,-164.582222222222,"COUN_4_10_15"
"67",64.6952777777778,-164.549444444444,"COUN_4_10_11"
"68",64.7902777777778,-164.6925,"COUN_4_10_16"
"69",64.7058333333333,-164.628333333333,"COUN_4_10_12"
"70",64.8841666666667,-164.565555555556,"COUN_4_10_8"
"71",64.7902777777778,-164.653888888889,"COUN_4_10_4"
"72",64.8730555555556,-164.715277777778,"COUN_4_10_7"
"73",64.8619444444444,-164.6,"COUN_4_10_6"
"74",64.8161111111111,-165.715833333333,"TELL_5_23_2"
"75",64.6397222222222,-165.780555555556,"TELL_5_23_4"
"76",64.7241666666667,-165.585,"TELL_5_23_6"
"77",64.8083333333333,-165.783333333333,"TELL_5_23_10"
"78",64.6508333333333,-165.681111111111,"TELL_5_23_14"
"79",64.8302777777778,-165.585833333333,"TELL_5_23_11"
"80",64.7430555555556,-165.807222222222,"TELL_5_23_8"
"81",64.6586111111111,-165.760555555556,"TELL_5_23_5"
"82",64.8361111111111,-165.6775,"TELL_5_23_3"
"83",64.7505555555556,-165.873888888889,"TELL_5_23_1"
"84",64.8275,-166.100277777778,"TELL_3_1_1"
"85",64.9155555555556,-166.141388888889,"TELL_3_1_5"
"86",65.0011111111111,-166.206666666667,"TELL_3_1_9"
"87",64.8252777777778,-166.010833333333,"TELL_3_1_13"
"88",64.9105555555555,-166.075833333333,"TELL_3_1_16"
"89",65.0038888888889,-165.993333333333,"TELL_3_1_20"
"90",64.9188888888889,-166.189444444444,"TELL_3_1_17"
"91",65.0119444444444,-166.106666666667,"TELL_3_1_21"
"92",64.9272222222222,-166.043055555556,"TELL_3_1_18"
"93",64.8336111111111,-166.124722222222,"TELL_3_1_14"
"94",65.0091666666667,-166.059166666667,"TELL_3_1_10"
"95",64.6711111111111,-164.697777777778,"COUN_4_14_23"
"96",64.7661111111111,-164.611111111111,"COUN_4_14_25"
"97",64.6825,-164.548333333333,"COUN_4_14_24"
"98",64.5991666666667,-164.485,"COUN_4_14_21"
"99",64.7777777777778,-164.682777777778,"COUN_4_14_18"
"100",64.6933333333333,-164.62,"COUN_4_14_15"
"101",64.5991666666667,-164.703888888889,"COUN_4_14_11"
"102",64.6816666666667,-164.507777777778,"COUN_4_14_14"
"103",64.7655555555556,-164.571111111111,"COUN_4_14_17"
"104",64.5883333333333,-164.633333333333,"COUN_4_14_20"
"105",65.1372222222222,-165.028888888889,"KOUG_3_20_3"
"106",64.9661111111111,-164.946944444444,"KOUG_3_20_6"
"107",65.0608333333333,-165.121111111111,"KOUG_3_20_9"
"108",65.1555555555556,-165.036944444444,"KOUG_3_20_13"
"109",64.9786111111111,-165.098333333333,"KOUG_3_20_17"
"110",65.0630555555556,-164.899722222222,"KOUG_3_20_20"
"111",64.9694444444444,-164.980833333333,"KOUG_3_20_16"
"112",65.1344444444444,-165.068611111111,"KOUG_3_20_11"
"113",65.0497222222222,-165.008055555556,"KOUG_3_20_8"
"114",64.955,-165.091666666667,"KOUG_3_20_5"
"115",64.9727777777778,-166.050277777778,"TELL_4_18_21"
"116",64.9813888888889,-166.163888888889,"TELL_4_18_22"
"117",64.8883333333333,-166.246111111111,"TELL_4_18_20"
"118",64.8113888888889,-166.160833333333,"TELL_4_18_18"
"119",64.7944444444445,-166.069444444444,"TELL_4_18_17"
"120",64.9705555555556,-166.264444444444,"TELL_4_18_16"
"121",64.8769444444444,-166.085833333333,"TELL_4_18_13"
"122",64.9619444444444,-166.151944444444,"TELL_4_18_15"
"123",64.8797222222222,-166.134444444444,"TELL_4_18_19"
"124",64.9711111111111,-166.208611111111,"TELL_2_22_14"
"125",65.1461111111111,-166.303611111111,"TELL_2_22_12"
"126",65.0441666666667,-166.3675,"TELL_2_22_10"
"127",65.1297222222222,-166.171111111111,"TELL_2_22_11"
"128",65.2241666666667,-166.355833333333,"TELL_2_22_13"
"129",65.0480555555556,-166.158611111111,"TELL_2_22_15"
"130",65.1416666666667,-166.338055555556,"TELL_2_22_17"
"131",65.2355555555556,-166.256111111111,"TELL_2_22_19"
"132",65.1497222222222,-166.192777777778,"TELL_2_22_18"
"133",65.0627777777778,-166.271111111111,"TELL_2_22_16"
"134",64.8188888888889,-164.348611111111,"COUN_3_19_3"
"135",64.9133333333333,-164.523888888889,"COUN_3_19_7"
"136",64.7483333333333,-164.436111111111,"COUN_3_19_11"
"137",64.8305555555556,-164.498611111111,"COUN_3_19_14"
"138",64.9147222222222,-164.299722222222,"COUN_3_19_17"
"139",64.7369444444444,-164.361944444444,"COUN_3_19_19"
"140",64.9027777777778,-164.448055555556,"COUN_3_19_16"
"141",64.8194444444444,-164.386666666667,"COUN_3_19_13"
"142",64.7361111111111,-164.324166666667,"COUN_3_19_10"
"143",64.9022222222222,-164.410277777778,"COUN_3_19_6"
"144",64.9919444444444,-166.062777777778,"TELL_4_9_24"
"145",64.9069444444444,-166.259166666667,"TELL_4_9_21"
"146",64.8233333333333,-166.195,"TELL_4_9_18"
"147",64.9983333333333,-166.13,"TELL_4_9_15"
"148",64.9122222222222,-166.324444444444,"TELL_4_9_12"
"149",64.82,-166.143888888889,"TELL_4_9_7"
"150",64.7344444444444,-166.203888888889,"TELL_4_9_3"
"151",64.8111111111111,-166.295833333333,"TELL_4_9_6"
"152",64.8963888888889,-166.098333333333,"TELL_4_9_10"
"153",64.8144444444444,-166.080555555556,"TELL_4_9_17"
"154",64.9238888888889,-166.254722222222,"TELL_3_21_1"
"155",65.0177777777778,-166.1725,"TELL_3_21_2"
"156",64.8505555555556,-166.090277777778,"TELL_3_21_4"
"157",64.9444444444444,-166.269166666667,"TELL_3_21_6"
