"","road","unit","transect","point","year","date","species","time_int","distance","dist_cat","flyover","count","id"
"59","COUN",3,12,1,2019,"15-May-2019","GWTE",3,"100",NA,"N","1","COUN_3_12_1"
"60","COUN",3,12,1,2019,"15-May-2019","OCWA",7,"NA",1,"N","1","COUN_3_12_1"
"61","COUN",3,12,1,2019,"15-May-2019","WCSP",2,"NA",1,"N","2","COUN_3_12_1"
"62","COUN",3,12,1,2019,"15-May-2019","WCSP",4,"NA",1,"N","1","COUN_3_12_1"
"63","COUN",3,12,1,2019,"15-May-2019","WCSP",9,"NA",101,"N","2","COUN_3_12_1"
"64","COUN",3,12,1,2019,"15-May-2019","WIPT",0,"100",NA,"N","1","COUN_3_12_1"
"65","COUN",3,12,1,2019,"15-May-2019","WIPT",2,"300",NA,"N","1","COUN_3_12_1"
"66","COUN",3,12,1,2019,"15-May-2019","WIPT",8,"250",NA,"N","1","COUN_3_12_1"
"67","COUN",5,12,1,2019,"18-May-2019","ATSP",1,"NA",1,"N","1","COUN_5_12_1"
"68","COUN",5,12,1,2019,"18-May-2019","CORE",1,"NA",1,"N","1","COUN_5_12_1"
"69","COUN",5,12,1,2019,"18-May-2019","FOSP",1,"NA",101,"N","1","COUN_5_12_1"
"70","COUN",5,12,1,2019,"18-May-2019","MED SANDPIPER",2,"36",NA,"N","1","COUN_5_12_1"
"71","COUN",5,12,1,2019,"18-May-2019","SAVS",1,"NA",1,"N","1","COUN_5_12_1"
"72","COUN",5,12,1,2019,"18-May-2019","SAVS",1,"NA",101,"N","1","COUN_5_12_1"
"73","COUN",5,12,1,2019,"18-May-2019","WCSP",7,"NA",101,"N","1","COUN_5_12_1"
"74","KOUG",5,17,1,2019,"17-Jun-2019","ATSP",0,"NA",1,"N","2","KOUG_5_17_1"
"75","KOUG",5,17,1,2019,"17-Jun-2019","LALO",2,"NA",1,"N","2","KOUG_5_17_1"
"76","KOUG",5,17,1,2019,"17-Jun-2019","LALO",5,"NA",101,"N","1","KOUG_5_17_1"
"77","KOUG",5,17,1,2019,"17-Jun-2019","SAVS",0,"NA",1,"N","1","KOUG_5_17_1"
"78","KOUG",5,17,1,2019,"17-Jun-2019","WESA",3,"NA",101,"N","2","KOUG_5_17_1"
"79","KOUG",5,17,1,2019,"17-Jun-2019","WIPT",0,"215",NA,"N","1","KOUG_5_17_1"
"80","TELL",3,1,1,2019,"22-May-2019","AMGP",6,"127",NA,"N","1","TELL_3_1_1"
"81","TELL",3,1,1,2019,"22-May-2019","AMPI",8,"NA",101,"N","1","TELL_3_1_1"
"82","TELL",3,1,1,2019,"22-May-2019","GCSP",0,"NA",101,"N","1","TELL_3_1_1"
"83","TELL",3,1,1,2019,"22-May-2019","GCSP",2,"NA",101,"N","1","TELL_3_1_1"
"84","TELL",3,1,1,2019,"22-May-2019","LALO",1,"NA",1,"N","1","TELL_3_1_1"
"85","TELL",3,1,1,2019,"22-May-2019","LALO",2,"NA",101,"N","1","TELL_3_1_1"
