"","id","year","species","time_int","distance","dist_cat","flyover","count","display"
"84","TELL_3_1_1",2019,"LALO","1","NA",1,"N","1","NA"
"85","TELL_3_1_1",2019,"LALO","2","NA",101,"N","1","NA"
"86","TELL_3_1_1",2019,"LALO","3","NA",1,"N","1","NA"
"87","TELL_3_1_1",2019,"LBDO","9","200",NA,"N","1","NA"
"88","TELL_3_1_1",2019,"SAVS","1","NA",1,"N","1","NA"
"89","COUN_1_3_1",2019,"CORE","6","NA",1,"N","1","NA"
"90","COUN_1_3_1",2019,"FOSP","0","NA",101,"N","1","NA"
"91","COUN_1_3_1",2019,"FOSP","0","NA",1,"N","1","NA"
"92","COUN_1_3_1",2019,"GCTH","0","NA",101,"N","1","NA"
"93","COUN_1_3_1",2019,"GCTH","1","NA",1,"N","1","NA"
"94","COUN_1_3_1",2019,"VATH","0","NA",101,"N","1","NA"
"95","COUN_1_3_1",2019,"YEWA","1","NA",1,"N","2","NA"
"96","TELL_1_6_1",2019,"ATSP","1","NA",101,"N","1","NA"
"97","TELL_1_6_1",2019,"FOSP","0","NA",101,"N","2","NA"
"98","TELL_1_6_1",2019,"GCSP","0","NA",101,"N","3","NA"
"99","TELL_1_6_1",2019,"GCTH","2","NA",101,"N","1","NA"
"100","TELL_1_6_1",2019,"NOWA","0","NA",101,"N","1","NA"
"101","TELL_1_6_1",2019,"SAVS","1","NA",1,"N","2","NA"
"102","TELL_1_6_1",2019,"SQUIR","1","165",NA,"N","1","NA"
"103","TELL_1_6_1",2019,"SQUIR","7","211",NA,"N","1","NA"
"104","TELL_1_6_1",2019,"YEWA","7","NA",1,"N","1","NA"
"105","TELL_5_10_1",2019,"AMPI","4","NA",101,"N","1","NA"
"106","TELL_5_10_1",2019,"FOSP","0","NA",1,"N","1","NA"
"107","TELL_5_10_1",2019,"FOSP","0","NA",101,"N","1","NA"
"108","TELL_5_10_1",2019,"GCSP","0","NA",101,"N","1","NA"
"109","TELL_5_10_1",2019,"GCSP","2","NA",101,"N","1","NA"
"110","TELL_5_10_1",2019,"GCSP","9","NA",101,"N","1","NA"
"111","TELL_5_10_1",2019,"SAVS","8","NA",101,"N","1","NA"
"112","COUN_2_15_1",2019,"GCSP","0","NA",1,"N","1","NA"
"113","COUN_2_15_1",2019,"GCSP","0","NA",101,"N","1","NA"
"114","COUN_2_15_1",2019,"GYRF","3","359",NA,"N","1","NA"
"115","KOUG_3_16_1",2019,"CORE","6","NA",1,"N","1","NA"
"116","KOUG_1_17_1",2019,"ATSP","0","NA",101,"N","1","NA"
"117","KOUG_1_17_1",2019,"ATSP","1","NA",1,"N","1","NA"
"118","KOUG_1_17_1",2019,"FOSP","0","NA",101,"N","1","NA"
"119","KOUG_1_17_1",2019,"SAVS","0","NA",1,"N","1","NA"
"120","KOUG_1_17_1",2019,"SAVS","2","NA",1,"N","1","NA"
"121","KOUG_4_19_1",2019,"ATSP","1","80",NA,"N","1","NA"
"122","KOUG_4_19_1",2019,"ATSP","2","75",NA,"N","1","NA"
"123","KOUG_4_19_1",2019,"CORE","5","48",NA,"N","2","NA"
"124","KOUG_4_19_1",2019,"CORE","6","32",NA,"N","1","NA"
"125","KOUG_4_19_1",2019,"SEOW","7","130",NA,"N","1","NA"
"126","KOUG_4_19_1",2019,"WIPT","4","170",NA,"N","2","NA"
"127","COUN_4_19_1",2019,"FOSP","7","NA",101,"N","1","NA"
"128","COUN_4_19_1",2019,"GCSP","0","NA",101,"N","1","NA"
"129","COUN_4_19_1",2019,"GCSP","2","NA",1,"N","1","NA"
"130","COUN_4_19_1",2019,"GCTH","0","NA",101,"N","1","NA"
"131","COUN_4_19_1",2019,"GCTH","2","NA",1,"N","1","NA"
"132","COUN_4_19_1",2019,"SAVS","3","NA",1,"N","1","NA"
"133","COUN_4_19_1",2019,"SONG","9","NA",101,"N","3","NA"
"134","COUN_4_19_1",2019,"WIPT","9","65",NA,"N","1","NA"
"135","COUN_4_19_1",2019,"YEWA","3","NA",101,"N","1","NA"
"136","TELL_3_21_1",2019,"GCSP","0","NA",1,"N","2","NA"
"137","TELL_3_21_1",2019,"GCSP","0","NA",101,"N","1","NA"
"138","TELL_3_21_1",2019,"GCTH","1","NA",101,"N","1","NA"
"139","TELL_3_21_1",2019,"LALO","0","NA",1,"N","1","NA"
"140","TELL_3_21_1",2019,"PAGP","8","172",NA,"N","1","NA"
"141","TELL_3_21_1",2019,"SAVS","0","NA",1,"N","1","NA"
"142","TELL_3_21_1",2019,"SAVS","2","NA",101,"N","1","NA"
"143","TELL_3_21_1",2019,"WESA","2","NA",1,"N","1","NA"
"144","TELL_3_21_1",2019,"WHIM","5","250",NA,"N","1","NA"
"145","TELL_3_21_1",2019,"WIPT","0","175",NA,"N","1","NA"
"146","TELL_3_21_1",2019,"WIPT","3","282",NA,"N","1","NA"
"147","TELL_3_21_1",2019,"WIPT","4","120",NA,"N","1","NA"
"148","TELL_3_21_1",2019,"WIPT","7","91",NA,"N","1","NA"
"149","KOUG_3_21_1",2019,"CORE","2","NA",101,"N","1","NA"
"150","KOUG_3_21_1",2019,"GCSP","0","NA",1,"N","4","NA"
"151","KOUG_3_21_1",2019,"LALO","2","NA",1,"N","1","NA"
"152","KOUG_3_21_1",2019,"SAVS","6","NA",1,"N","1","NA"
"153","TELL_5_23_1",2019,"GCSP","0","NA",101,"N","1","NA"
"154","TELL_5_23_1",2019,"GCSP","6","NA",101,"N","1","NA"
"155","TELL_5_23_1",2019,"LALO","4","NA",101,"N","1","NA"
"156","TELL_5_23_1",2019,"SAVS","2","NA",101,"N","1","NA"
"157","TELL_5_23_1",2019,"SAVS","7","NA",1,"N","1","NA"
"158","TELL_5_23_1",2019,"WIPT","1","250",NA,"N","1","NA"
"159","TELL_5_23_1",2019,"WIPT","4","350",NA,"N","1","NA"
"160","KOUG_5_10_2",2019,"ATSP","8","NA",101,"N","1","NA"
"161","KOUG_5_10_2",2019,"LALO","4","NA",101,"N","1","NA"
"162","KOUG_5_10_2",2019,"PAGP","0","77",NA,"N","2","NA"
"163","KOUG_5_10_2",2019,"SAVS","0","NA",101,"N","1","NA"
"164","KOUG_5_10_2",2019,"WESA","0","NA",101,"N","1","NA"
"165","KOUG_5_10_2",2019,"WHIM","4","300",NA,"N","1","NA"
"166","COUN_5_12_2",2019,"AMRO","0","170",NA,"N","1","NA"
"167","COUN_5_12_2",2019,"AMRO","3","NA",101,"N","1","NA"
"168","COUN_5_12_2",2019,"ATSP","1","NA",1,"N","1","NA"
"169","COUN_5_12_2",2019,"ATSP","1","NA",101,"N","1","NA"
"170","COUN_5_12_2",2019,"GULL","4","350",NA,"N","2","NA"
"171","COUN_5_12_2",2019,"SEPL","7","18",NA,"N","2","NA"
"172","COUN_2_1_2",2019,"ARWA","3","NA",1,"N","1","NA"
"173","COUN_2_1_2",2019,"ARWA","9","NA",101,"N","1","NA"
"174","COUN_2_1_2",2019,"FOSP","0","NA",1,"N","2","NA"
"175","COUN_2_1_2",2019,"GCSP","3","NA",101,"N","2","NA"
"176","COUN_2_1_2",2019,"GCTH","1","NA",1,"N","1","NA"
