"","id","UTM1","UTM2","ELEVATION"
"266","COUN_C1_T20_19",555564,7179486,327
"267","KOUG_K5_T17_12",484917,7190513,247
"268","KOUG_K5_T17_9",484335,7189951,201
"269","KOUG_K5_T17_13",483852,7190583,273
"270","KOUG_K5_T17_16",483433,7191227,223
"271","KOUG_K5_T17_18",483922,7191780,373
"272","KOUG_K5_T17_21",483437,7192406,273
"273","KOUG_K5_T17_24",483980,7192977,366
"274","KOUG_K5_T17_25",484545,7193539,341
"275","KOUG_K5_T17_23",485046,7192911,401
"276","KOUG_K5_T17_17",484981,7191708,503
"277","COUN_C1_T13_7",557404,7184762,83
"278","COUN_C1_T13_10",557962,7185332,70
"279","COUN_C1_T13_14",558519,7185898,75
"280","COUN_C1_T13_19",559082,7186459,113
"281","COUN_C1_T13_23",559650,7187028,122
"282","COUN_C1_T13_18",560151,7186399,234
"283","COUN_C1_T13_12",560652,7185769,201
"284","COUN_C1_T13_8",560099,7185205,284
"285","COUN_C1_T13_5",559539,7184635,292
"286","COUN_C1_T13_3",558979,7184074,282
"287","COUN_C1_T13_6",558473,7184704,191
"288","COUN_C1_T13_4",557911,7184136,120
"289","TELL_T2_T2_31",447602,7211064,178
"290","TELL_T2_T2_36",448167,7211623,161
"291","TELL_T2_T2_30",448667,7210987,164
"292","TELL_T2_T2_25",449162,7210350,190
"293","TELL_T2_T2_19",449658,7209712,174
"294","TELL_T2_T2_14",450153,7209082,185
"295","TELL_T2_T2_9",450650,7208443,190
"296","TELL_T2_T2_5",450086,7207880,303
"297","TELL_T2_T2_10",449588,7208516,299
"298","TELL_T2_T2_15",449087,7209153,286
"299","TELL_T2_T2_20",448592,7209785,282
"300","TELL_T2_T2_26",448094,7210424,245
"301","COUN_C3_T3_10",531786,7174943,243
"302","COUN_C3_T3_7",531222,7174382,218
"303","COUN_C3_T3_11",530715,7175009,200
"304","COUN_C3_T3_15",530208,7175639,269
"305","COUN_C3_T3_18",529704,7176268,274
"306","COUN_C3_T3_21",529199,7176898,294
"307","COUN_C3_T3_19",528640,7176336,168
"308","COUN_C3_T3_16",529141,7175711,168
"309","COUN_C3_T3_12",529647,7175079,192
"310","COUN_C3_T3_8",530156,7174449,219
"311","COUN_C3_T3_4",530658,7173818,217
"312","KOUG_K1_T9_6",512968,7249511,64
"313","KOUG_K1_T9_9",512470,7250142,87
"314","KOUG_K1_T9_13",511969,7250784,99
"315","KOUG_K1_T9_18",511473,7251419,107
"316","KOUG_K1_T9_21",512028,7251989,112
"317","KOUG_K1_T9_23",512588,7252556,122
"318","KOUG_K1_T9_24",513144,7253128,108
"319","KOUG_K1_T9_22",513643,7252491,104
"320","KOUG_K1_T9_19",514145,7251850,101
"321","KOUG_K1_T9_15",514644,7251214,93
"322","KOUG_K2_T26_17",516593,7225737,233
"323","KOUG_K2_T26_13",517099,7225104,189
"324","KOUG_K2_T26_9",517600,7224470,132
"325","KOUG_K2_T26_12",518157,7225034,183
"326","KOUG_K2_T26_15",518717,7225600,275
"327","KOUG_K2_T26_18",519273,7226167,397
"328","KOUG_K2_T26_21",518777,7226800,405
"329","KOUG_K2_T26_19",518215,7226238,347
"330","KOUG_K2_T26_16",517657,7225670,289
"331","KOUG_K2_T26_20",517155,7226306,348
"332","TELL_T1_T7_18",443134,7228530,190
"333","TELL_T1_T7_13",443630,7225191,160
"334","TELL_T1_T7_8",444124,7224555,73
"335","TELL_T1_T7_12",444689,7225121,66
"336","TELL_T1_T7_17",444197,7225753,130
"337","TELL_T1_T7_21",444760,7226320,114
"338","TELL_T1_T7_24",444267,7226958,189
"339","TELL_T1_T7_26",444833,7227521,155
"340","TELL_T1_T7_28",444338,7228158,225
"341","TELL_T1_T7_27",443768,7227593,207
"342","TELL_T1_T7_25",443207,7227026,196
"343","TELL_T1_T7_22",443701,7226393,215
"344","TELL_T2_T14_22",439241,7205030,187
"345","TELL_T2_T14_26",438744,7205662,174
"346","TELL_T2_T14_29",438248,7206298,194
"347","TELL_T2_T14_27",437680,7205737,153
"348","TELL_T2_T14_23",438176,7205102,153
"349","TELL_T2_T14_18",438671,7204466,146
"350","TELL_T2_T14_13",439165,7203829,136
"351","TELL_T2_T14_7",469666,7203192,65
"352","TELL_T2_T14_12",440227,7203755,101
"353","KOUG_K4_T11_11",485772,7166473,28
"354","KOUG_K4_T11_10",486847,7166433,37
"355","KOUG_K4_T11_6",487346,7165801,56
"356","KOUG_K4_T11_9",487916,7166362,101
"357","KOUG_K4_T11_12",488484,7166923,110
"358","KOUG_K4_T11_15",489054,7167488,226
"359","KOUG_K4_T11_17",489611,7168044,188
"360","KOUG_K4_T11_19",489112,7168675,180
"361","KOUG_K4_T11_18",488545,7168113,250
"362","KOUG_K4_T11_16",487984,7167553,142
"363","KOUG_K4_T11_13",487411,7166991,77
"364","KOUG_K4_T7_1",490905,7172754,223
"365","KOUG_K4_T7_4",491501,7173306,352
"366","KOUG_K4_T7_7",492066,7173868,325
"367","KOUG_K2_T29_14",511262,7236324,135
"368","KOUG_K2_T29_11",510709,7235763,90
"369","KOUG_K2_T29_6",511206,7235133,35
"370","KOUG_K2_T29_10",511761,7235701,62
"371","KOUG_K2_T29_13",512325,7226266,66
"372","KOUG_K2_T29_16",512879,7236829,110
"373","KOUG_K2_T29_20",512381,7237465,177
"374","TELL_T4_T11_27",451464,7185567,149
"375","TELL_T4_T15_1",455319,7178112,64
"376","TELL_T4_T15_2",455886,7178671,65
"377","TELL_T4_T15_5",455383,7179293,121
"378","TELL_T4_T15_12",455455,7180496,184
"379","TELL_T4_T15_16",454957,7181131,232
"380","TELL_T4_T15_13",454386,7180570,265
"381","TELL_T4_T15_9",454887,7179935,211
"382","TELL_T4_T15_3",454819,7178746,107
"383","TELL_T4_T15_20",455525,7181691,186
"384","TELL_T4_T15_21",454458,7181765,208
"385","KOUG_K3_T28_10",513268,7212104,156
"386","KOUG_K3_T28_7",512701,7211539,176
"387","KOUG_K3_T28_4",512147,7210974,253
"388","KOUG_K3_T28_2",511580,7210404,423
"389","KOUG_K5_T4_23",484837,7168946,101
"390","KOUG_K5_T4_21",484268,7168393,188
"391","KOUG_K5_T4_19",483705,7167833,195
"392","KOUG_K5_T4_22",483199,7168466,169
"393","KOUG_K5_T4_20",482634,7167903,164
"394","KOUG_K5_T4_17",482065,7167342,324
"395","KOUG_K5_T4_15",481496,7166780,340
"396","KOUG_K5_T4_12",482004,7166152,219
"397","KOUG_K5_T4_14",482567,7166712,246
"398","KOUG_K5_T4_16",483136,7167272,128
"399","TELL_T2_T1_1",443354,7202336,131
"400","TELL_T2_T1_2",442287,7202408,127
"401","TELL_T2_T1_5",442855,7202971,167
"402","TELL_T2_T1_8",443426,7203533,98
"403","TELL_T2_T1_12",442927,7204168,73
"404","TELL_T2_T1_14",443494,7204731,115
"405","TELL_T2_T1_11",443991,7204095,152
"406","TELL_T2_T1_4",443921,7202897,108
"407","TELL_T2_T1_20",443067,7206570,95
"408","TELL_T2_T1_23",442570,7207199,281
"409","TELL_T2_T1_24",443135,7207760,216
"410","TELL_T2_T1_22",443632,7207126,122
"411","COUN_C2_T21_13",544722,7176548,302
"412","COUN_C2_T21_9",545227,7175920,362
"413","COUN_C2_T21_5",545734,7175288,242
"414","COUN_C2_T21_3",546241,7174659,147
"415","COUN_C2_T21_1",546749,7174030,200
"416","COUN_C2_T21_2",547310,7174595,148
"417","COUN_C2_T21_4",546803,7175226,167
"418","COUN_C2_T21_8",546289,7175851,182
"419","COUN_C2_T21_12",545787,7176482,250
"420","COUN_C2_T21_17",545289,7177120,278
"421","COUN_C2_T21_15",547418,7176983,275
"422","COUN_C2_T21_14",548486,7176922,236
"423","TELL_T3_T6_9",444634,7196837,170
"424","TELL_T3_T6_13",444136,7197471,165
"425","TELL_T3_T6_17",443637,7198108,166
"426","TELL_T3_T6_20",444205,7198673,227
"427","TELL_T3_T6_22",444774,7199231,220
"428","TELL_T3_T6_23",445338,7199788,336
"429","TELL_T3_T6_24",445906,7200359,450
"430","TELL_T3_T6_21",445837,7199156,399
"431","TELL_T3_T6_18",446333,7198517,443
"432","TELL_T3_T6_15",445763,7197958,316
"433","TELL_T3_T6_8",445701,7196765,320
"434","TELL_T3_T6_12",445197,7197403,225
"435","COUN_C5_T20_7",491314,7149422,11
"436","COUN_C5_T20_11",490806,7150047,18
"437","COUN_C5_T20_14",491374,7150608,31
"438","COUN_C5_T20_17",491944,7151166,41
"439","COUN_C5_T20_13",492446,7150537,43
"440","COUN_C5_T20_9",492952,7149910,33
"441","COUN_C5_T20_5",493458,7149279,41
"442","COUN_C5_T20_2",493960,7148650,34
"443","COUN_C5_T20_1",493394,7148089,2
"444","COUN_C5_T20_4",491813,7148766,3
"445","KOUG_K2_T10_3",511732,7224243,86
"446","KOUG_K2_T10_7",511227,7224874,157
"447","KOUG_K2_T10_11",511788,7225442,184
"448","KOUG_K2_T10_15",512351,7226011,233
"449","KOUG_K2_T10_19",512912,7226576,288
