"","model","formula","lambda(Int)","SElambda(Int)","p(hear)","SEp(hear)","p(Int)","SEp(Int)","p(julian)","SEp(julian)","p(min_after_sun)","SEp(min_after_sun)","p(observerKW)","SEp(observerKW)","p(observerMG)","SEp(observerMG)","p(sky0,3)","SEp(sky0,3)","p(sky1)","SEp(sky1)","p(sky1,3)","SEp(sky1,3)","p(sky2)","SEp(sky2)","p(sky2,3)","SEp(sky2,3)","p(sky2,3,)","SEp(sky2,3,)","p(sky2,3,4)","SEp(sky2,3,4)","p(sky2,4)","SEp(sky2,4)","p(sky3)","SEp(sky3)","p(sky3,0)","SEp(sky3,0)","p(sky3,4)","SEp(sky3,4)","p(sky4)","SEp(sky4)","p(tempf)","SEp(tempf)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"4","lam(.)p(min_after_sun + observer + tempf + sky + hear)","~min_after_sun + observer + tempf + sky + hear ~ 1",-1.33429329630759,0.144652049555019,-0.60049393936693,0.162273390498207,-2.07206971640108,0.479044850429497,NA,NA,-0.100494413809699,0.146654277013015,0.879901341036105,0.448519688858743,0.789036271580105,0.488708429039761,-0.996429726041598,0.741696957078752,-0.558472897608779,0.552369475893926,-13.5862479062709,1245.18996223893,0.0416603758730421,0.466366111176659,-2.69661909615174,1.13805509617926,-12.9143916143301,874.572930414176,0.195870240537944,1.04847690570369,-1.80214585211079,1.20521762471263,0.270953310417419,0.731820894303185,13.544472535117,415.298153002815,-17.9785642896135,1656.25739891204,-22.6143614938476,6381.22377562613,-0.562651640652622,0.197352903136486,0,7438073715.73271,618.540863864742,19,916,1275.08172772948,0,0.659477841265898,NA,0.659477841265898
"2","lam(.)p(julian + min_after_sun + observer + tempf + sky + hear)","~julian + min_after_sun + observer + tempf + sky + hear ~ 1",-1.2977640161115,0.175048235983737,-0.581383569898033,0.165491396949973,-2.10007382176831,0.479302931314702,0.147323635663833,0.263876768580887,-0.0471153373968701,0.179554360847464,0.850789274852456,0.443519794063136,0.761778618790853,0.479599728019118,-1.03692607722861,0.758987478916359,-0.521008848653806,0.545826789404878,-14.6207024366815,1977.21396228986,-0.0564538346226954,0.49262090136287,-2.77664141478147,1.14161721088813,-14.829130097052,2242.57572466741,0.217141051883448,1.07430262104753,-1.8612130191684,1.21189118858647,0.141649951080577,0.75944709658367,13.1854859039364,370.831362472407,-20.6898345779264,6355.33928717262,-21.3395226625968,5931.64188190688,-0.653995462778167,0.248666887181387,0,7622716383.06377,618.385159830991,20,916,1276.77031966198,1.6885919324975,0.283483070702758,NA,0.942960911968656
"3","lam(.)p(julian + min_after_sun + observer + sky + hear)","~julian + min_after_sun + observer + sky + hear ~ 1",-1.45925345338043,NA,-0.683455358297542,NA,-2.25549212707485,NA,-0.246523528327007,NA,-0.188311917703314,NA,1.31284357000098,NA,1.25998695748421,NA,-0.425223384571393,NA,-0.737105792149248,NA,-13.8999508188321,NA,0.494371557162693,NA,-2.37788116960553,NA,-12.5794622808797,NA,0.310376404665523,NA,-1.83350044540999,NA,1.08841999835076,NA,14.4253858830688,NA,-23.5111991463956,NA,-28.8314335977051,NA,NA,NA,0,-1165071775.17792,620.988711377912,19,916,1279.97742275582,4.89569502634026,0.0570313353138147,NA,0.999992247282471
"1","lam(.)p(.)","~1 ~ 1",-1.69682957063218,0.10825466735875,NA,NA,-0.862474345458865,0.218326406793348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8.16221227403081,646.892024085173,2,916,1297.78404817035,22.702320440862,7.75271752934865e-06,NA,1
