"","model","formula","lambda(Int)","SElambda(Int)","p(hear)","SEp(hear)","p(Int)","SEp(Int)","p(julian)","SEp(julian)","p(min_after_sun)","SEp(min_after_sun)","p(observerKW)","SEp(observerKW)","p(observerMG)","SEp(observerMG)","p(sky0,3)","SEp(sky0,3)","p(sky1)","SEp(sky1)","p(sky1,3)","SEp(sky1,3)","p(sky2)","SEp(sky2)","p(sky2,3)","SEp(sky2,3)","p(sky2,3,)","SEp(sky2,3,)","p(sky2,3,4)","SEp(sky2,3,4)","p(sky2,4)","SEp(sky2,4)","p(sky3)","SEp(sky3)","p(sky3,0)","SEp(sky3,0)","p(sky3,4)","SEp(sky3,4)","p(sky4)","SEp(sky4)","p(tempf)","SEp(tempf)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"4","lam(.)p(min_after_sun + observer + tempf + sky + hear)","~min_after_sun + observer + tempf + sky + hear ~ 1",-0.676001802548862,NA,0.127234510941924,NA,-4.44892248924536,NA,NA,NA,0.00906395869976526,NA,1.22949243674482,NA,1.41058051619601,NA,-19.7719961941406,NA,-1.37686367248129,NA,2.87325173680694,NA,-0.0825674670100492,NA,0.108284609435635,NA,-23.3669846870991,NA,-14.8769888327463,NA,3.88246279120712,NA,-11.6577224008879,NA,-22.6543190241084,NA,-14.3075137729277,NA,36.3656742941062,NA,0.570466685620953,NA,0,-3509800218.78075,371.432715945465,19,916,780.86543189093,0,0.677547066406001,NA,0.677547066406001
"2","lam(.)p(julian + min_after_sun + observer + tempf + sky + hear)","~julian + min_after_sun + observer + tempf + sky + hear ~ 1",-0.693565705454852,NA,0.143016764298146,NA,-4.48007988955708,NA,-0.165279521066044,NA,-0.0478975860498089,NA,1.20862680198988,NA,1.3920999904885,NA,-18.1117232214631,NA,-1.35350910193014,NA,3.05314144318874,NA,0.040463668394049,NA,0.297199596287908,NA,-29.1324451659037,NA,-11.1603797984818,NA,4.16776675562087,NA,-9.34927971531622,NA,-28.6680439526738,NA,-17.0506663242869,NA,47.0796520326838,NA,0.693118618713846,NA,0,-3671315353.47861,371.20517170461,20,916,782.41034340922,1.54491151829052,0.312943687403656,NA,0.990490753809656
"3","lam(.)p(julian + min_after_sun + observer + sky + hear)","~julian + min_after_sun + observer + sky + hear ~ 1",-0.676585628798559,0.361743053448084,0.0196179025704681,0.136179983493863,-4.06654997957117,0.574785530600035,0.359826032509168,0.162147545113299,0.251380629324757,0.154704890843891,1.20127723045366,0.514789459434986,1.23973237677578,0.562597034954613,-9.13205955914598,162.710105184399,-1.55474597278977,0.632388024080715,2.03533414924307,1.34885214317312,-0.547757689412038,0.326649990329809,-0.491161364059278,0.845832503051548,-11.8015253650246,826.621414442644,-9.30224145672409,91.8342028926382,2.69913621331691,0.842137454176756,-9.6568167381483,64.217530237247,-12.4087605228832,1083.05413377977,-9.27750095779776,74.7025378317038,16.5611709322166,1152.26813432489,NA,NA,0,205674595.117376,375.698938200575,19,916,789.39787640115,8.5324445102201,0.00950917161411814,NA,0.999999925423774
"1","lam(.)p(.)","~1 ~ 1",-1.57635803810865,0.602973773686919,NA,NA,-2.20700002385746,0.818701966731866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,120.779332240675,404.454883761428,2,916,812.909767522856,32.0443356319257,7.45762254750504e-08,NA,1
