"","model","formula","lambda(Int)","SElambda(Int)","p(hear)","SEp(hear)","p(Int)","SEp(Int)","p(julian)","SEp(julian)","p(min_after_sun)","SEp(min_after_sun)","p(observerKW)","SEp(observerKW)","p(observerMG)","SEp(observerMG)","p(sky0,3)","SEp(sky0,3)","p(sky1)","SEp(sky1)","p(sky1,3)","SEp(sky1,3)","p(sky2)","SEp(sky2)","p(sky2,3)","SEp(sky2,3)","p(sky2,3,)","SEp(sky2,3,)","p(sky2,3,4)","SEp(sky2,3,4)","p(sky2,4)","SEp(sky2,4)","p(sky3)","SEp(sky3)","p(sky3,0)","SEp(sky3,0)","p(sky3,4)","SEp(sky3,4)","p(sky4)","SEp(sky4)","p(tempf)","SEp(tempf)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"2","lam(.)p(julian + min_after_sun + observer + tempf + sky + hear)","~julian + min_after_sun + observer + tempf + sky + hear ~ 1",-1.17727507991912,NA,0.388953436925865,NA,-4.91977638806453,NA,-1.08246157021647,NA,-0.157474782536321,NA,0.611469879888274,NA,2.60235325347678,NA,1.94519585524625,NA,0.171248296955311,NA,-5.80393129385661,NA,0.287178782950584,NA,2.90349717707532,NA,-4.79700481649703,NA,-25.6244908282884,NA,6.82137049373916,NA,-15.1446870662355,NA,-7.57461718121714,NA,-25.9550138115575,NA,4.94720828829117,NA,0.451374603562114,NA,0,-7643968602.65836,292.556167246926,20,916,625.112334493851,0,0.723579571493266,NA,0.723579571493266
"3","lam(.)p(julian + min_after_sun + observer + sky + hear)","~julian + min_after_sun + observer + sky + hear ~ 1",-1.29270113380311,NA,0.301005295729568,NA,-4.44700498385062,NA,-0.806529010256962,NA,0.0349829811195489,NA,0.484724532606722,NA,2.57884061100623,NA,1.46222893872501,NA,-0.0444637342745268,NA,-8.15129264090547,NA,-0.168706625055836,NA,2.32336075060055,NA,-4.83547121047687,NA,-17.1695529105631,NA,6.04567312893451,NA,-11.529598116272,NA,-7.99050804770395,NA,-26.3413977337345,NA,4.10917002532683,NA,NA,NA,0,1.66198163709429e+23,294.524409768309,19,916,627.048819536619,1.93648504276723,0.274779236793019,NA,0.998358808286285
"4","lam(.)p(min_after_sun + observer + tempf + sky + hear)","~min_after_sun + observer + tempf + sky + hear ~ 1",-1.52157229385897,NA,0.322194722679153,NA,-4.0793212688667,NA,NA,NA,0.246838606195078,NA,0.507177073959654,NA,2.97892250173093,NA,0.653242062791945,NA,0.179809024174723,NA,-8.45355652597294,NA,-0.0614095528944259,NA,1.75792142832912,NA,-7.51277665968901,NA,-25.6253933527215,NA,4.94257232431661,NA,-20.5088521324716,NA,-11.0940962258703,NA,-30.437264773972,NA,2.98131641696119,NA,-0.0362208367375964,NA,0,-1279072428.81235,299.644955667437,19,916,637.289911334874,12.1775768410228,0.00164119084091205,NA,0.999999999127197
"1","lam(.)p(.)","~1 ~ 1",-2.31441178397705,0.248604755923648,NA,NA,-1.34767961966233,0.450505790810026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19.3626336273861,331.091934153555,2,916,666.183868307109,41.0715338132579,8.72802633376e-10,NA,1
